PREC,PREC_match,county,precinct,PRES20D,PRES20L,PRES20R
"FULTON, 06L1","FULTON, 06L1",Fulton,06L1,628,10,162
"FULTON, 06L2","FULTON, 06L2",Fulton,06L2,410,9,159
"FULTON, 06N","FULTON, 06N",Fulton,06N,808,21,351
"FULTON, 06Q","FULTON, 06Q",Fulton,06Q,324,2,22
"FULTON, 06R","FULTON, 06R",Fulton,06R,1092,13,261
"FULTON, 07A","FULTON, 07A",Fulton,07A,3341,66,2030
"FULTON, 07B","FULTON, 07B",Fulton,07B,1154,29,1280
"FULTON, 07C","FULTON, 07C",Fulton,07C,1945,26,1266
"FULTON, 07D","FULTON, 07D",Fulton,07D,2020,38,1211
"FULTON, 07E","FULTON, 07E",Fulton,07E,1192,22,510
"FULTON, 07F","FULTON, 07F",Fulton,07F,1790,35,1054
"FULTON, 07H","FULTON, 07H",Fulton,07H,1025,12,621
"FULTON, 07J","FULTON, 07J",Fulton,07J,1537,28,707
"FULTON, 07M","FULTON, 07M",Fulton,07M,1039,20,452
"FULTON, 07N","FULTON, 07N",Fulton,07N,1081,15,228
"FULTON, 08A","FULTON, 08A",Fulton,08A,1306,26,1070
"FULTON, 08B","FULTON, 08B",Fulton,08B,1444,48,1298
"FULTON, 08C","FULTON, 08C",Fulton,08C,506,5,691
"FULTON, 08D","FULTON, 08D",Fulton,08D,363,9,517
"FULTON, 08E","FULTON, 08E",Fulton,08E,1085,21,1079
"FULTON, 08F1","FULTON, 08F1",Fulton,08F1,891,21,956
"FULTON, 08G","FULTON, 08G",Fulton,08G,1265,31,737
"FULTON, 08H","FULTON, 08H",Fulton,08H,1099,12,971
"FULTON, 08J","FULTON, 08J",Fulton,08J,1630,47,955
"FULTON, 08K","FULTON, 08K",Fulton,08K,570,19,247
"FULTON, 08L","FULTON, 08L",Fulton,08L,2310,71,914
"FULTON, 08M","FULTON, 08M",Fulton,08M,839,21,942
"FULTON, 08N1","FULTON, 08N1",Fulton,08N1,338,15,318
"FULTON, 08N2","FULTON, 08N2",Fulton,08N2,756,11,452
"FULTON, 08P","FULTON, 08P",Fulton,08P,946,17,186
"FULTON, 09A","FULTON, 09A",Fulton,09A,2098,63,595
"FULTON, 09B","FULTON, 09B",Fulton,09B,175,2,7
"FULTON, 09C","FULTON, 09C",Fulton,09C,1601,21,67
"FULTON, 09D","FULTON, 09D",Fulton,09D,949,9,48
"FULTON, 09E","FULTON, 09E",Fulton,09E,1514,21,123
"FULTON, 09F","FULTON, 09F",Fulton,09F,1917,41,1029
"FULTON, 09G","FULTON, 09G",Fulton,09G,2228,52,538
"FULTON, 09H","FULTON, 09H",Fulton,09H,624,14,75
"FULTON, 09I","FULTON, 09I",Fulton,09I,563,7,35
"FULTON, 09K","FULTON, 09K",Fulton,09K,1598,27,87
"FULTON, 09K1","FULTON, 09K",Fulton,09K1,453,4,32
"FULTON, 09M","FULTON, 09M",Fulton,09M,1591,34,279
"FULTON, 10A","FULTON, 10A",Fulton,10A,1724,14,72
"FULTON, 10B","FULTON, 10B",Fulton,10B,2592,19,96
"FULTON, 10C","FULTON, 10C",Fulton,10C,1153,11,52
"FULTON, 10D","FULTON, 10D",Fulton,10D,2117,24,121
"FULTON, 10E","FULTON, 10E",Fulton,10E,569,2,31
"FULTON, 10F","FULTON, 10F",Fulton,10F,638,8,31
"FULTON, 10G","FULTON, 10G",Fulton,10G,844,6,38
"FULTON, 10H1","FULTON, 10H1",Fulton,10H1,269,4,8
"FULTON, 10H2","FULTON, 10H2",Fulton,10H2,1083,6,50
"FULTON, 10I","FULTON, 10I",Fulton,10I,264,0,10
"FULTON, 10J","FULTON, 10J",Fulton,10J,479,6,24
"FULTON, 10K","FULTON, 10K",Fulton,10K,972,13,47
"FULTON, 10M","FULTON, 10M",Fulton,10M,1531,21,70
"FULTON, 10P","FULTON, 10P",Fulton,10P,720,4,31
"FULTON, 10R","FULTON, 10R",Fulton,10R,385,5,22
"FULTON, 11B","FULTON, 11B",Fulton,11B,2557,11,77
"FULTON, 11B1","FULTON, 11B",Fulton,11B1,392,1,24
"FULTON, 11C","FULTON, 11C",Fulton,11C,2095,16,53
"FULTON, 11E1","FULTON, 11E1",Fulton,11E1,688,5,37
"FULTON, 11E2","FULTON, 11E2",Fulton,11E2,581,3,24
"FULTON, 11E3","FULTON, 11E3",Fulton,11E3,1988,13,64
"FULTON, 11G","FULTON, 11G",Fulton,11G,957,8,51
"FULTON, 11H","FULTON, 11H",Fulton,11H,372,5,26
"FULTON, 11J","FULTON, 11J",Fulton,11J,1068,10,36
"FULTON, 11K","FULTON, 11K",Fulton,11K,1158,13,53
"FULTON, 11M","FULTON, 11M",Fulton,11M,1037,2,31
"FULTON, 11M1","FULTON, 11M",Fulton,11M1,733,10,39
"FULTON, 11N","FULTON, 11N",Fulton,11N,1440,12,70
"FULTON, 11P","FULTON, 11P",Fulton,11P,1088,8,39
"FULTON, 11R","FULTON, 11R",Fulton,11R,809,8,37
"FULTON, 12A","FULTON, 12A",Fulton,12A,2663,36,179
"FULTON, 12A1","FULTON, 12A",Fulton,12A1,371,11,20
"FULTON, 12D","FULTON, 12D",Fulton,12D,586,9,30
"FULTON, 12E1","FULTON, 12E1",Fulton,12E1,671,3,64
"FULTON, 12F","FULTON, 12F",Fulton,12F,496,6,29
"FULTON, 12G","FULTON, 12G",Fulton,12G,431,0,25
"FULTON, 12H1","FULTON, 12H1",Fulton,12H1,346,6,32
"FULTON, 12H2","FULTON, 12H2",Fulton,12H2,1389,11,43
"FULTON, 12I","FULTON, 12I",Fulton,12I,491,6,22
"FULTON, 12J","FULTON, 12J",Fulton,12J,1327,15,78
"FULTON, 12K","FULTON, 12K",Fulton,12K,1512,24,105
"FULTON, 12L","FULTON, 12L",Fulton,12L,268,1,18
"FULTON, 12M","FULTON, 12M",Fulton,12M,1312,16,69
"FULTON, 12N","FULTON, 12N",Fulton,12N,402,5,18
"FULTON, 12S","FULTON, 12S",Fulton,12S,996,9,40
"FULTON, AP01A","FULTON, AP01A",Fulton,AP01A,2195,50,1864
"FULTON, AP01B","FULTON, AP01B",Fulton,AP01B,486,21,400
"FULTON, AP01C","FULTON, AP01C",Fulton,AP01C,978,37,879
"FULTON, AP01D","FULTON, AP01D",Fulton,AP01D,392,19,278
"FULTON, AP021","FULTON, AP021",Fulton,AP021,1291,38,1266
"FULTON, AP022","FULTON, AP022",Fulton,AP022,1000,18,778
"FULTON, AP02B","FULTON, AP02B",Fulton,AP02B,280,6,203
"FULTON, AP03","FULTON, AP03",Fulton,AP03,325,4,101
"FULTON, AP04A","FULTON, AP04A",Fulton,AP04A,658,30,764
"FULTON, AP04B","FULTON, AP04B",Fulton,AP04B,193,5,205
"FULTON, AP05","FULTON, AP05",Fulton,AP05,1927,38,1857
"FULTON, AP06","FULTON, AP06",Fulton,AP06,694,20,888
"FULTON, AP07A","FULTON, AP07A",Fulton,AP07A,1464,37,1370
"FULTON, AP07B","FULTON, AP07B",Fulton,AP07B,768,11,755
"FULTON, AP09A","FULTON, AP09A",Fulton,AP09A,1933,45,1508
"FULTON, AP09B","FULTON, AP09B",Fulton,AP09B,453,15,238
"FULTON, AP10","FULTON, AP10",Fulton,AP10,343,14,476
"FULTON, AP12A","FULTON, AP12A",Fulton,AP12A,320,6,185
"FULTON, AP12B","FULTON, AP12B",Fulton,AP12B,406,9,201
"FULTON, AP12C","FULTON, AP12C",Fulton,AP12C,792,14,955
"FULTON, AP14","FULTON, AP14",Fulton,AP14,1419,36,1161
"FULTON, CH01","FULTON, CH01",Fulton,CH01,150,4,61
"FULTON, CH02","FULTON, CH02",Fulton,CH02,96,3,151
"FULTON, CH03","FULTON, CH03",Fulton,CH03,98,3,208
"FULTON, CH04A","FULTON, CH04A",Fulton,CH04A,345,7,321
"FULTON, CH05","FULTON, CH05",Fulton,CH05,90,3,240
"FULTON, CP011","FULTON, CP011",Fulton,CP011,610,18,143
"FULTON, CP012","FULTON, CP012",Fulton,CP012,786,14,143
"FULTON, CP01B","FULTON, CP01B",Fulton,CP01B,188,6,64
"FULTON, CP02","FULTON, CP02",Fulton,CP02,586,13,80
"FULTON, CP04A","FULTON, CP04A",Fulton,CP04A,2,0,2
"FULTON, CP04B","FULTON, CP04B",Fulton,CP04B,16,0,3
"FULTON, CP051","FULTON, CP051",Fulton,CP051,921,7,43
"FULTON, CP05B","FULTON, CP05B",Fulton,CP05B,72,0,5
"FULTON, CP06A","FULTON, CP06A",Fulton,CP06A,214,6,14
"FULTON, CP07B","FULTON, CP07B",Fulton,CP07B,3,0,1
"FULTON, CP07C","FULTON, CP07C",Fulton,CP07C,71,1,1
"FULTON, CP07D","FULTON, CP07D",Fulton,CP07D,225,5,11
"FULTON, CP07E","FULTON, CP07E",Fulton,CP07E,41,0,1
"FULTON, CP07F","FULTON, CP07F",Fulton,CP07F,61,0,3
"FULTON, CP081","FULTON, CP081",Fulton,CP081,106,1,7
"FULTON, CP083","FULTON, CP083",Fulton,CP083,36,1,0
"FULTON, CP084","FULTON, CP084",Fulton,CP084,0,0,0
"FULTON, CP08A","FULTON, CP08A",Fulton,CP08A,177,1,6
"FULTON, EP01A","FULTON, EP01A",Fulton,EP01A,1462,20,168
"FULTON, EP01B","FULTON, EP01B",Fulton,EP01B,1591,18,146
"FULTON, EP02A","FULTON, EP02A",Fulton,EP02A,1042,2,70
"FULTON, EP02B","FULTON, EP02B",Fulton,EP02B,982,13,154
"FULTON, EP02C","FULTON, EP02C",Fulton,EP02C,261,5,48
"FULTON, EP02D","FULTON, EP02D",Fulton,EP02D,233,1,12
"FULTON, EP02E","FULTON, EP02E",Fulton,EP02E,697,14,52
"FULTON, EP03A","FULTON, EP03A",Fulton,EP03A,2674,24,178
"FULTON, EP03B","FULTON, EP03B",Fulton,EP03B,1020,7,61
"FULTON, EP04A","FULTON, EP04A",Fulton,EP04A,2550,21,104
"FULTON, EP04B","FULTON, EP04B",Fulton,EP04B,1490,8,57
"FULTON, EP04C",,Fulton,EP04C,441,1,16
"FULTON, FA01A","FULTON, FA01A",Fulton,FA01A,2223,18,300
"FULTON, FA01B","FULTON, FA01B",Fulton,FA01B,3087,23,345
"FULTON, FA01C","FULTON, FA01C",Fulton,FA01C,445,9,32
"FULTON, FA01D",,Fulton,FA01D,159,1,16
"FULTON, FC01",,Fulton,FC01,175,1,10
"FULTON, FC02",,Fulton,FC02,46,0,14
"FULTON, FC03",,Fulton,FC03,16,0,1
"FULTON, HP01","FULTON, HP01",Fulton,HP01,1622,26,556
"FULTON, JC01","FULTON, JC01",Fulton,JC01,2238,27,1197
"FULTON, JC01A","FULTON, JC01",Fulton,JC01A,664,4,376
"FULTON, JC02","FULTON, JC02",Fulton,JC02,1306,17,897
"FULTON, JC03A","FULTON, JC03A",Fulton,JC03A,283,5,198
"FULTON, JC03B","FULTON, JC03B",Fulton,JC03B,777,21,445
"FULTON, JC04A","FULTON, JC04A",Fulton,JC04A,1522,20,1070
"FULTON, JC04B","FULTON, JC04B",Fulton,JC04B,149,1,80
"FULTON, JC04C",,Fulton,JC04C,596,21,361
"FULTON, JC05","FULTON, JC05",Fulton,JC05,1054,29,700
"FULTON, JC06","FULTON, JC06",Fulton,JC06,1094,23,967
"FULTON, JC07","FULTON, JC07",Fulton,JC07,2145,38,1403
"FULTON, JC08","FULTON, JC08",Fulton,JC08,1267,28,1013
"FULTON, JC09","FULTON, JC09",Fulton,JC09,1426,31,947
"FULTON, JC10","FULTON, JC10",Fulton,JC10,1246,27,725
"FULTON, JC11","FULTON, JC11",Fulton,JC11,1314,33,1364
"FULTON, JC12","FULTON, JC12",Fulton,JC12,907,26,1328
"FULTON, JC13A","FULTON, JC13A",Fulton,JC13A,768,13,1067
"FULTON, JC13B","FULTON, JC13B",Fulton,JC13B,76,3,156
"FULTON, JC14","FULTON, JC14",Fulton,JC14,1042,21,1040
"FULTON, JC15","FULTON, JC15",Fulton,JC15,430,10,266
"FULTON, JC16","FULTON, JC16",Fulton,JC16,1108,27,976
"FULTON, JC18","FULTON, JC18",Fulton,JC18,1146,34,1151
"FULTON, JC19","FULTON, JC19",Fulton,JC19,1794,59,1362
"FULTON, ML01A",,Fulton,ML01A,1078,38,1236
"FULTON, ML01B","FULTON, ML01B",Fulton,ML01B,206,7,346
"FULTON, ML02A",,Fulton,ML02A,679,28,1397
"FULTON, ML02B",,Fulton,ML02B,568,26,960
"FULTON, ML03","FULTON, ML03",Fulton,ML03,1114,35,1902
"FULTON, ML03A","FULTON, ML03",Fulton,ML03A,64,1,146
"FULTON, ML04",,Fulton,ML04,1075,29,1576
"FULTON, ML05",,Fulton,ML05,1869,32,1794
"FULTON, ML06A","FULTON, ML06A",Fulton,ML06A,939,18,446
"FULTON, ML06B","FULTON, ML06B",Fulton,ML06B,1431,28,774
"FULTON, ML07A","FULTON, ML07A",Fulton,ML07A,235,9,411
"FULTON, ML07B",,Fulton,ML07B,476,15,841
"FULTON, MP01","FULTON, MP01",Fulton,MP01,189,7,180
"FULTON, PA01","FULTON, PA01",Fulton,PA01,1393,26,411
"FULTON, RW01","FULTON, RW01",Fulton,RW01,1928,50,2276
"FULTON, RW02","FULTON, RW02",Fulton,RW02,1737,70,1523
"FULTON, RW03","FULTON, RW03",Fulton,RW03,2038,44,1347
"FULTON, RW04","FULTON, RW04",Fulton,RW04,883,20,650
"FULTON, RW05","FULTON, RW05",Fulton,RW05,1220,28,615
"FULTON, RW06","FULTON, RW06",Fulton,RW06,1335,43,934
"FULTON, RW07A","FULTON, RW07A",Fulton,RW07A,754,15,145
"FULTON, RW07B","FULTON, RW07B",Fulton,RW07B,203,9,74
"FULTON, RW08","FULTON, RW08",Fulton,RW08,823,26,1008
"FULTON, RW09","FULTON, RW09",Fulton,RW09,1641,52,2229
"FULTON, RW09A","FULTON, RW09",Fulton,RW09A,491,19,802
"FULTON, RW10","FULTON, RW10",Fulton,RW10,1347,55,1599
"FULTON, RW11A","FULTON, RW11A",Fulton,RW11A,1154,26,900
"FULTON, RW12","FULTON, RW12",Fulton,RW12,1723,49,1849
"FULTON, RW12A","FULTON, RW12",Fulton,RW12A,724,22,818
"FULTON, RW13","FULTON, RW13",Fulton,RW13,1583,57,1329
"FULTON, RW16","FULTON, RW16",Fulton,RW16,804,25,856
"FULTON, RW17","FULTON, RW17",Fulton,RW17,1351,53,765
"FULTON, RW19","FULTON, RW19",Fulton,RW19,801,30,950
"FULTON, RW20","FULTON, RW20",Fulton,RW20,1119,29,1045
"FULTON, RW21","FULTON, RW21",Fulton,RW21,1186,41,1420
"FULTON, RW22A","FULTON, RW22A",Fulton,RW22A,2040,50,1100
"FULTON, SC01A","FULTON, SC01A",Fulton,SC01A,50,0,3
"FULTON, SC01B","FULTON, SC01B",Fulton,SC01B,1557,7,49
"FULTON, SC01C","FULTON, SC01C",Fulton,SC01C,1599,11,60
"FULTON, SC02","FULTON, SC02",Fulton,SC02,1031,5,33
"FULTON, SC04","FULTON, SC04",Fulton,SC04,527,7,208
"FULTON, SC05A","FULTON, SC05A",Fulton,SC05A,458,3,16
"FULTON, SC05B","FULTON, SC05B",Fulton,SC05B,2443,16,93
"FULTON, SC05D","FULTON, SC05D",Fulton,SC05D,1829,9,80
"FULTON, SC05E","FULTON, SC05E",Fulton,SC05E,399,3,74
"FULTON, SC07A","FULTON, SC07A",Fulton,SC07A,3028,26,365
"FULTON, SC07C","FULTON, SC07C",Fulton,SC07C,11,1,1
"FULTON, SC07D",,Fulton,SC07D,1060,10,48
"FULTON, SC08B","FULTON, SC08B",Fulton,SC08B,2442,20,124
"FULTON, SC08C","FULTON, SC08C",Fulton,SC08C,71,0,0
"FULTON, SC08D","FULTON, SC08D",Fulton,SC08D,345,5,11
"FULTON, SC08E","FULTON, SC08E",Fulton,SC08E,413,9,17
"FULTON, SC08F","FULTON, SC08F",Fulton,SC08F,420,4,14
"FULTON, SC08G","FULTON, SC08G",Fulton,SC08G,3,0,0
"FULTON, SC08H","FULTON, SC08H",Fulton,SC08H,0,0,0
"FULTON, SC09A","FULTON, SC09A",Fulton,SC09A,943,9,46
"FULTON, SC09B","FULTON, SC09B",Fulton,SC09B,1202,11,46
"FULTON, SC09C","FULTON, SC09C",Fulton,SC09C,998,12,54
"FULTON, SC10","FULTON, SC10",Fulton,SC10,768,5,49
"FULTON, SC11A","FULTON, SC11A",Fulton,SC11A,960,5,44
"FULTON, SC11B","FULTON, SC11B",Fulton,SC11B,959,8,51
"FULTON, SC13","FULTON, SC13",Fulton,SC13,1904,11,115
"FULTON, SC14A","FULTON, SC14A",Fulton,SC14A,474,6,32
"FULTON, SC15","FULTON, SC15",Fulton,SC15,3049,18,176
"FULTON, SC15A","FULTON, SC15",Fulton,SC15A,1546,3,40
"FULTON, SC16A","FULTON, SC16A",Fulton,SC16A,3600,17,108
"FULTON, SC17A","FULTON, SC17A",Fulton,SC17A,43,0,1
"FULTON, SC17B","FULTON, SC17B",Fulton,SC17B,4,0,1
"FULTON, SC17C","FULTON, SC17C",Fulton,SC17C,732,8,45
"FULTON, SC18A","FULTON, SC18A",Fulton,SC18A,380,3,13
"FULTON, SC18B","FULTON, SC18B",Fulton,SC18B,654,3,24
"FULTON, SC18C","FULTON, SC18C",Fulton,SC18C,1507,5,72
"FULTON, SC19A","FULTON, SC19A",Fulton,SC19A,134,1,7
"FULTON, SC19B","FULTON, SC19B",Fulton,SC19B,786,8,37
"FULTON, SC20","FULTON, SC20",Fulton,SC20,1964,14,55
"FULTON, SC211","FULTON, SC211",Fulton,SC211,1212,9,62
"FULTON, SC212","FULTON, SC212",Fulton,SC212,2537,32,176
"FULTON, SC23A","FULTON, SC23A",Fulton,SC23A,2085,17,90
"FULTON, SC23B","FULTON, SC23B",Fulton,SC23B,334,2,22
"FULTON, SC23C","FULTON, SC23C",Fulton,SC23C,1467,7,68
"FULTON, SC27","FULTON, SC27",Fulton,SC27,1342,10,62
"FULTON, SC29A","FULTON, SC29A",Fulton,SC29A,1776,16,74
"FULTON, SC30A","FULTON, SC30A",Fulton,SC30A,114,1,7
"FULTON, SC30B","FULTON, SC30B",Fulton,SC30B,575,6,22
"FULTON, SS01","FULTON, SS01",Fulton,SS01,1807,51,2038
"FULTON, SS02A","FULTON, SS02A",Fulton,SS02A,564,20,331
"FULTON, SS02B","FULTON, SS02B",Fulton,SS02B,684,14,231
"FULTON, SS03","FULTON, SS03",Fulton,SS03,741,20,473
"FULTON, SS04","FULTON, SS04",Fulton,SS04,1799,36,895
"FULTON, SS05","FULTON, SS05",Fulton,SS05,864,24,692
"FULTON, SS06","FULTON, SS06",Fulton,SS06,776,16,625
"FULTON, SS07A","FULTON, SS07A",Fulton,SS07A,527,8,471
"FULTON, SS07B","FULTON, SS07B",Fulton,SS07B,370,4,195
"FULTON, SS07C","FULTON, SS07C",Fulton,SS07C,299,10,230
"FULTON, SS08A","FULTON, SS08A",Fulton,SS08A,911,26,381
"FULTON, SS08B","FULTON, SS08B",Fulton,SS08B,308,3,252
"FULTON, SS08C","FULTON, SS08C",Fulton,SS08C,345,7,152
"FULTON, SS08D","FULTON, SS08D",Fulton,SS08D,717,16,310
"FULTON, SS09A","FULTON, SS09A",Fulton,SS09A,1300,34,1273
"FULTON, SS09B","FULTON, SS09B",Fulton,SS09B,1545,25,1399
"FULTON, SS11A","FULTON, SS11A",Fulton,SS11A,1785,47,936
"FULTON, SS11B","FULTON, SS11B",Fulton,SS11B,655,10,235
"FULTON, SS11C","FULTON, SS11C",Fulton,SS11C,161,5,33
"FULTON, SS11D","FULTON, SS11D",Fulton,SS11D,172,8,145
"FULTON, SS12","FULTON, SS12",Fulton,SS12,1302,20,942
"FULTON, SS13A","FULTON, SS13A",Fulton,SS13A,855,22,653
"FULTON, SS13B","FULTON, SS13B",Fulton,SS13B,541,14,368
"FULTON, SS14","FULTON, SS14",Fulton,SS14,500,12,665
"FULTON, SS15A","FULTON, SS15A",Fulton,SS15A,1273,18,238
"FULTON, SS15B","FULTON, SS15B",Fulton,SS15B,756,26,344
"FULTON, SS16","FULTON, SS16",Fulton,SS16,905,32,833
"FULTON, SS17","FULTON, SS17",Fulton,SS17,1471,24,1253
"FULTON, SS18A","FULTON, SS18A",Fulton,SS18A,297,7,247
"FULTON, SS18B","FULTON, SS18B",Fulton,SS18B,100,1,99
"FULTON, SS19A","FULTON, SS19A",Fulton,SS19A,1530,40,494
"FULTON, SS19B","FULTON, SS19B",Fulton,SS19B,1222,28,443
"FULTON, SS20","FULTON, SS20",Fulton,SS20,1059,23,449
"FULTON, SS22","FULTON, SS22",Fulton,SS22,1082,19,691
"FULTON, SS26","FULTON, SS26",Fulton,SS26,1791,41,382
"FULTON, SS29A","FULTON, SS29A",Fulton,SS29A,1316,25,729
"FULTON, SS31","FULTON, SS31",Fulton,SS31,777,18,504
"FULTON, UC01A","FULTON, UC01A",Fulton,UC01A,1859,18,120
"FULTON, UC01B","FULTON, UC01B",Fulton,UC01B,216,2,13
"FULTON, UC01D","FULTON, UC01D",Fulton,UC01D,0,0,0
"FULTON, UC01E","FULTON, UC01E",Fulton,UC01E,374,2,19
"FULTON, UC02A","FULTON, UC02A",Fulton,UC02A,3648,20,181
"FULTON, UC02B","FULTON, UC02B",Fulton,UC02B,15,0,5
"FULTON, UC02C",,Fulton,UC02C,1493,17,119
"FULTON, UC031","FULTON, UC031",Fulton,UC031,1223,17,265
"FULTON, UC032","FULTON, UC032",Fulton,UC032,230,3,37
"GILMER, BIG CREEK","GILMER, BIG CREEK",Gilmer,Big Creek,205,16,917
"GILMER, BOARDTOWN","GILMER, BOARDTOWN",Gilmer,Boardtown,221,9,937
"GILMER, CARTECAY","GILMER, CARTECAY",Gilmer,Cartecay,170,10,1055
"GILMER, CHERRY LOG","GILMER, CHERRY LOG",Gilmer,Cherry Log,171,6,556
"GILMER, EAST ELLIJAY","GILMER, EAST ELLIJAY",Gilmer,East Ellijay,227,9,1013
"GILMER, ELLIJAY NORTH","GILMER, ELLIJAY NORTH",Gilmer,Ellijay North,215,17,1050
"GILMER, ELLIJAY NORTHEAST","GILMER, ELLIJAY NORTHEAST",Gilmer,Ellijay Northeast,270,14,1102
"GILMER, ELLIJAY SOUTH","GILMER, ELLIJAY SOUTH",Gilmer,Ellijay South,504,15,1763
"GILMER, LEACHES","GILMER, LEACHES",Gilmer,Leaches,392,27,1748
"GILMER, MOUNTAINTOWN","GILMER, MOUNTAINTOWN",Gilmer,Mountaintown,136,9,715
"GILMER, TAILS CREEK","GILMER, TAILS CREEK",Gilmer,Tails Creek,164,13,1036
"GILMER, TOWN CREEK","GILMER, TOWN CREEK",Gilmer,Town Creek,119,12,726
"GILMER, YUKON","GILMER, YUKON",Gilmer,Yukon,138,7,811
"GLASCOCK, EDGEHILL","GLASCOCK, EDGEHILL",Glascock,Edgehill,11,0,109
"GLASCOCK, GIBSON","GLASCOCK, GIBSON",Glascock,Gibson,58,5,442
"GLASCOCK, MILL","GLASCOCK, MILL",Glascock,Mill,38,2,554
"GLASCOCK, MITCHELL","GLASCOCK, MITCHELL",Glascock,Mitchell,48,1,298
"GLYNN, BALLARD","GLYNN, BALLARD COMPLEX",Glynn,Ballard,694,29,1289
"GLYNN, BLYTHE ISLAND BAPTIST","GLYNN, BLYTHE ISLAND BAPTIST CHURCH",Glynn,Blythe Island Baptist,334,17,1462
"GLYNN, BROOKMAN",,Glynn,Brookman,665,24,1725
"GLYNN, C B GREER SCHOOL","GLYNN, C B GREER SCHOOL",Glynn,C B Greer School,725,29,1530
"GLYNN, CAREER ACADEMY","GLYNN, CAREER ACADEMY",Glynn,Career Academy,579,39,1412
"GLYNN, CHRISTIAN RENEWAL","GLYNN, CHRISTIAN RENEWAL",Glynn,Christian Renewal,967,22,2089
"GLYNN, COLLEGE PLACE UMC","GLYNN, COLLEGE PLACE",Glynn,College Place UMC,857,18,553
"GLYNN, FIRST BAPTIST","GLYNN, FIRST BAPTIST",Glynn,First Baptist,1090,38,2312
"GLYNN, HAMPTON RIVER",,Glynn,Hampton River,697,26,1665
"GLYNN, HOWARD COFFIN PARK","GLYNN, HOWARD COFFIN PARK",Glynn,Howard Coffin Park,1160,32,639
"GLYNN, JEKYLL ISLAND","GLYNN, JEKYLL ISLAND",Glynn,Jekyll Island,277,4,343
"GLYNN, NORTHSIDE BAPTIST","GLYNN, NORTHSIDE CHURCH",Glynn,Northside Baptist,1193,30,787
"GLYNN, SATILLA MARSHES","GLYNN, SATILLA MARSH SCHOOL",Glynn,Satilla Marshes,615,30,1427
"GLYNN, SE BAPTIST BLDG","GLYNN, SE BAPTIST BLDG",Glynn,SE Baptist Bldg,382,20,908
"GLYNN, SELDEN PARK","GLYNN, SELDEN PARK",Glynn,Selden Park,465,4,194
"GLYNN, ST WILLIAM CATHOLIC CHURCH","GLYNN, ST WILLIAMS CHURCH",Glynn,St William Catholic Church,1122,42,2399
"GLYNN, STERLING CHURCH OF GOD","GLYNN, STERLING CHURCH OF GOD",Glynn,Sterling Church of God,835,27,1725
"GLYNN, STERLING ELEMENTARY","GLYNN, STERLING ELEM SCHOOL",Glynn,Sterling Elementary,736,21,2280
"GLYNN, THE CHAPEL","GLYNN, THE CHAPEL",Glynn,The Chapel,943,12,688
"GLYNN, URBANA-PERRY PARKS",,Glynn,Urbana-Perry Parks,1543,25,189
"GORDON, CALHOUN CITY","GORDON, CALHOUN CITY",Gordon,Calhoun City,1702,89,4233
"GORDON, FAIRMOUNT","GORDON, FAIRMOUNT",Gordon,Fairmount,148,17,1215
"GORDON, GORDON COUNTY","GORDON, GORDON COUNTY",Gordon,Gordon County,769,25,3227
"GORDON, LILY POND","GORDON, LILY POND",Gordon,Lily Pond,203,11,1097
"GORDON, OAKMAN","GORDON, OAKMAN",Gordon,Oakman,116,4,790
"GORDON, OOSTANAULA","GORDON, OOSTANAULA",Gordon,Oostanaula,93,3,403
"GORDON, PINE CHAPEL","GORDON, PINE CHAPEL",Gordon,Pine Chapel,84,7,644
"GORDON, PLAINVILLE","GORDON, PLAINVILLE",Gordon,Plainville,197,11,1118
"GORDON, RED BUD","GORDON, RED BUD",Gordon,Red Bud,332,21,1703
"GORDON, RESACA","GORDON, RESACA",Gordon,Resaca,127,13,838
"GORDON, SONORAVILLE","GORDON, SONORAVILLE",Gordon,Sonoraville,497,38,3246
"GORDON, SUGAR VALLEY","GORDON, SUGAR VALLEY",Gordon,Sugar Valley,116,5,891
"GRADY, BLOWING CAVE","GRADY, BLOWING CAVE",Grady,Blowing Cave,104,2,513
"GRADY, CAIRO 4TH DISTRICT","GRADY, CAIRO 4TH DISTRICT",Grady,Cairo 4th District,1269,7,298
"GRADY, CAIRO 5TH DISTRICT","GRADY, CAIRO 5TH DISTRICT",Grady,Cairo 5th District,740,9,985
"GRADY, DUNCANVILLE","GRADY, DUNCANVILLE",Grady,Duncanville,119,1,242
"GRADY, HIGDON","GRADY, HIGDON",Grady,Higdon,201,4,418
"GRADY, LIMESINK","GRADY, LIMESINK",Grady,Limesink,46,1,196
"GRADY, MIDWAY","GRADY, MIDWAY",Grady,Midway,230,7,764
"GRADY, PINE PARK","GRADY, PINE PARK",Grady,Pine Park,212,5,464
"GRADY, RAGAN","GRADY, RAGAN",Grady,Ragan,103,1,261
"GRADY, SPENCE","GRADY, SPENCE",Grady,Spence,62,3,473
"GRADY, SPRING HILL","GRADY, SPRING HILL",Grady,Spring Hill,54,4,374
"GRADY, WHIGHAM","GRADY, WHIGHAM",Grady,Whigham,195,3,640
"GRADY, WOODLAND","GRADY, WOODLAND",Grady,Woodland,284,7,1406
"GREENE, GREENSBORO","GREENE, GREENSBORO",Greene,Greensboro,1501,28,1287
"GREENE, OLD SALEM","GREENE, OLD SALEM",Greene,Old Salem,1421,50,4689
"GREENE, SILOAM","GREENE, SILOAM",Greene,Siloam,368,2,338
